Sim_ID,Time (ms),I_ext (pA),v (mV),u (pA)
1,4.17,300.0,-49.528551629413755,-1.3104233209098488
1,4.18,300.0,-49.50540395754747,-1.316319123062416
1,4.19,300.0,-49.48225409259319,-1.3222270439137023
1,4.2,300.0,-49.45910195815266,-1.3281470811672134
1,4.21,300.0,-49.43594747780025,-1.3340792325729858
1,4.22,300.0,-49.41279057508195,-1.3400234959275874
1,4.23,300.0,-49.38963117351438,-1.3459798690741218
1,4.24,300.0,-49.36646919658377,-1.3519483499022302
1,4.25,300.0,-49.34330456774497,-1.3579289363480993
1,4.26,300.0,-49.320137210420455,-1.363921626394464
1,4.2700000000000005,300.0,-49.29696704799928,-1.3699264180706145
1,4.28,300.0,-49.273794003836144,-1.3759433094524005
1,4.29,300.0,-49.25061800125031,-1.3819722986622411
1,4.3,300.0,-49.227438963524655,-1.3880133838691306
1,4.3100000000000005,300.0,-49.204256813904635,-1.3940665632886478
1,4.32,300.0,-49.181071475597285,-1.400131835182962
1,4.33,300.0,-49.1578828717702,-1.4062091978608464
1,4.34,300.0,-49.13469092555052,-1.4122986496776855
1,4.3500000000000005,300.0,-49.11149556002395,-1.4184001890354867
1,4.36,300.0,-49.0882966982337,-1.4245138143828895
1,4.37,300.0,-49.0650942631795,-1.4306395242151804
1,4.38,300.0,-49.0418881778166,-1.4367773170743035
1,4.39,300.0,-49.018678365054704,-1.4429271915488737
1,4.4,300.0,-48.99546474775699,-1.4490891462741908
1,4.41,300.0,-48.97224724873908,-1.4552631799322517
1,4.42,300.0,-48.94902579076801,-1.4614492912517687
1,4.43,300.0,-48.92580029656123,-1.4676474790081822
1,4.44,300.0,-48.902570688785545,-1.4738577420236783
1,4.45,300.0,-48.87933689005614,-1.4800800791672033
1,4.46,300.0,-48.85609882293549,-1.486314489354484
1,4.47,300.0,-48.832856409932404,-1.4925609715480435
1,4.48,300.0,-48.80960957350093,-1.4988195247572205
1,4.49,300.0,-48.78635823603937,-1.5050901480381869
1,4.5,300.0,-48.763102319889214,-1.5113728404939701
1,4.51,300.0,-48.73984174733413,-1.5176676012744714
1,4.5200000000000005,300.0,-48.71657644059893,-1.5239744295764883
1,4.53,300.0,-48.693306321848496,-1.5302933246437334
1,4.54,300.0,-48.6700313131868,-1.53662428576686
1,4.55,300.0,-48.6467513366558,-1.542967312283483
1,4.5600000000000005,300.0,-48.623466314234435,-1.5493224035782032
1,4.57,300.0,-48.600176167837596,-1.555689559082629
1,4.58,300.0,-48.57688081931503,-1.5620687782754044
1,4.59,300.0,-48.55358019045033,-1.568460060682232
1,4.6000000000000005,300.0,-48.53027420295988,-1.574863405875901
1,4.61,300.0,-48.50696277849179,-1.5812788134763096
1,4.62,300.0,-48.48364583862485,-1.5877062831504969
1,4.63,300.0,-48.46032330486749,-1.5941458146126681
1,4.64,300.0,-48.43699509865667,-1.6005974076242235
1,4.65,300.0,-48.41366114135691,-1.6070610619937877
1,4.66,300.0,-48.390321354259136,-1.6135367775772373
1,4.67,300.0,-48.36697565857967,-1.6200245542777345
1,4.68,300.0,-48.34362397545915,-1.626524392045756
